Symbol,Screener
IREDA,https://scanx.trade/company/ireda-ltd
IRFC,https://scanx.trade/company/indian-railway-finance-corp-ltd
ITC,https://scanx.trade/company/itc-ltd
JINDALSTEL,https://scanx.trade/company/jindal-steel-ltd
JIOFIN,https://scanx.trade/company/jio-financial-services-ltd
JSWENERGY,https://scanx.trade/company/jsw-energy-ltd
JSWSTEEL,https://scanx.trade/company/jsw-steel-ltd
JUBLFOOD,https://scanx.trade/company/jubilant-foodworks-ltd
KALYANKJIL,https://scanx.trade/company/kalyan-jewellers-ltd
KAYNES,https://scanx.trade/company/kaynes-technology-ltd
KEI,https://scanx.trade/company/kei-industries-ltd
KFINTECH,https://scanx.trade/company/kfin-technologies-ltd
KOTAKBANK,https://scanx.trade/company/kotak-mahindra-bank-ltd
KPITTECH,https://scanx.trade/company/kpit-technologies-ltd
LAURUSLABS,https://scanx.trade/company/laurus-labs-ltd
LICHSGFIN,https://scanx.trade/company/lic-housing-finance-ltd
LICI,https://scanx.trade/company/lic-of-india-ltd
LODHA,https://scanx.trade/company/macrotech-developers-ltd
LT,https://scanx.trade/company/lt-larsen-toubro-ltd
LTF,https://scanx.trade/company/lt-finance-holdings-ltd
LTM,https://scanx.trade/company/lti-larsen-toubro-infotech-ltd
LUPIN,https://scanx.trade/company/lupin-ltd
M&M,https://scanx.trade/company/mahindra-mahindra-ltd
MANAPPURAM,https://scanx.trade/company/manappuram-finance-ltd
MANKIND,https://scanx.trade/company/mankind-pharma-ltd
MARICO,https://scanx.trade/company/marico-ltd
MARUTI,https://scanx.trade/company/maruti-suzuki-ltd
MAXHEALTH,https://scanx.trade/company/max-healthcare-institute-ltd
MAZDOCK,https://scanx.trade/company/mazagon-dock-shipbuilders-ltd
MCX,https://scanx.trade/company/multi-commodity-exchange-ltd
MFSL,https://scanx.trade/company/max-financial-services-ltd
MOTHERSON,https://scanx.trade/company/motherson-sumi-systems-ltd
MOTILALOFS,https://scanx.trade/company/motilal-oswal-financial-services-ltd
MPHASIS,https://scanx.trade/company/mphasis-ltd
MUTHOOTFIN,https://scanx.trade/company/muthoot-finance-ltd
NAM-INDIA,https://scanx.trade/company/nippon-life-india-asset-management-ltd
NATIONALUM,https://scanx.trade/company/national-aluminium-company-ltd
